subsection,section,data,tags
4,3,"One of the earliest Christian dualist sects, Marcionism, originated in Armenia (in the eastern part of present Turkey). The church Marcion himself established, appeared to die out around the 5th century, although similarities between Marcionism and Paulicianism, a sect in the same geographical area, indicate that Marcionist elements may have survived. Paulicianism began in the mid-7th century, when Constantine of Mananalis, basing his message solely on the New Testament, began to teach that there were two gods: a good god who had made men's souls, and an evil god who had created the entire physical universe including the human body. His followers, who became known as Paulicians, were not marked by extreme deviance in lifestyle compared to contemporaries, despite their belief that the world was evil, and were renowned as good fighting men.",p
4,3,"In 970 the Byzantine emperor John I Tzimiskes transplanted 200,000 Armenian Paulicians to Europe and settled them in the neighbourhood of Philippopolis (today's Plovdiv in Thrace). Under Byzantine and then later Ottoman rule, the Armenian Paulicians lived in relative safety in their ancient stronghold near Philippopolis, and further northward. Linguistically, they were assimilated into the Bulgarians, by whom they were called pavlikiani (the Byzantine Greek word for Paulician). In 1650, the Roman Catholic Church gathered them into its fold. Fourteen villages near Nicopolis, in Moesia, embraced Catholicism, as well as the villages around Philippopolis. A colony of Paulicians in the Wallachian village of Cioplea near Bucharest also followed the example of their brethren across the Danube.",p
5,3,Origins,h3
5,3,"The Gnostic social-religious movement and doctrine originated in the time of Peter I of Bulgaria (927–969), alleged in the modern day to be a reaction against state and clerical oppression of the Byzantine church. In spite of all measures of repression, it remained strong and popular until the fall of the Second Bulgarian Empire in the end of the 14th century. Bogomilism was an outcome of many factors that had arisen in the beginning of the 10th century, most probably in the region of Macedonia. It was also strongly influenced by the Paulicians who had been driven out of Armenia.",p
5,3,"The Slavonic sources are unanimous on the point that Bogomil's teaching was Manichaean. A Synodikon from the year 1210 adds the names of his pupils or ""apostles"", Mihail, Todur, Dobri, Stefan, Vasilie and Peter. Zealous missionaries carried their doctrines far and wide. In 1004, scarcely 25 years after the introduction of Christianity into Kievan Rus, we hear of a priest Adrian teaching the same doctrines as the Bogomils. He was imprisoned by Leontius, Bishop of Kiev. In 1125, the Church in the south of Rus had to combat another heresiarch named Dmitri. The Church in Bulgaria also tried to extirpate Bogomilism. Several thousand went in the army of Alexios I Komnenos against the Norman, Robert Guiscard; but, deserting the emperor, many of them (1085) were thrown into prison.[citation needed] Efforts were again put forth for their conversion; and for the converts the new city of Alexiopolis was built, opposite Philippopolis. When the Crusaders took Constantinople (1204), they found some Paulicians, whom the historian Geoffrey of Villehardouin calls Popelicans.[citation needed]",p
5,3,"The Legend of Saint Gerard discloses that followers of Bulgarian Bogomilism were present during the early 11th century in Ahtum's realm, which comprised present day Banat. They invoked Archangel Uriel, whose name is common in amulets and magic rituals.[citation needed]",p
6,3,Spread of Bogomilism in the Balkans,h3
6,3,"Slav peasantry in parts of Bulgaria very likely was the first in closer contact with Bogomilism and young Bulgarian church was aware of the danger. Pope Nicholas I warns Boris I of the danger of false teachings but he was not specific about heresy as such. Bogomilism was a native Slavic sect from the middle of the 10th century began to flourish while the Theophylact of Constantinople warned Peter I against this new heresy. The Bogomils spread westwards and settled in Serbia, where they were to be known as Babuns (Babuni). At the end of the 12th century Serbian Grand Prince Stefan Nemanja and the Serbian council deemed Bogomilism a heresy, and expelled them from the country. Large numbers, majority of Vlach origin, took refuge in Bosnia and Dalmatia where they were known under the name of Patarenes (Patareni).",p
6,3,"In the time of Samuel, Bogomilism spread into Serbia and Bosnia. The most active area become west Bosnia, centred on the valley of the River Bosna. In the province of Hum (modern Herzegovina) the Bogomils were also strong, in cities of Split and Trogir Bogomils were numerous but later they took refuge in Bosnia. Providing refuge to those labeled heretics, including Bogomils, was a recurrent pretext for Hungarian rulers to declare crusades against Bosnia and extend their influence in the region. A first Hungarian complaint to the Pope was averted by the public abjuration of the Bosnian ruler Ban Kulin, close relative of Stefan Nemanja, in 1203. A second Hungarian crusade against Bosnia on Bogomil heresy pretext was launched in 1225, but failed. In 1254, rebelling against the Papal order to accept a Hungarian bishop, the Bosnian Church chose the schism. In the following centuries, the Bosnian Church and the heretic sect of the Bogomils came to be identified with each other, due to the scarcity of documents after the Ottoman conquest.",p
6,3,"In 1203, Pope Innocent III, with the aid of the King of Hungary, forced an agreement of Kulin to acknowledge Papal authority and religion: in practice this was ignored. On the death of Kulin in 1216 a mission was sent to convert Bosnia to Rome but failed. In 1234, the Catholic Bishop of Bosnia was removed by Pope Gregory IX for allowing heretical practices. In addition, Gregory called on the Hungarian king to crusade against the heretics. However, Bosnian nobles were able to expel the Hungarians.",p
6,3,"In 1252, Pope Innocent IV decided to put Bosnia's bishop under the Hungarian Kalocsa jurisdiction. Such decision provoked the schism of the Bosnian Christians, who refused to submit to the Hungarians and broke off their relations with Rome. In that way, an autonomous Bosnian Church came into being, in which some later saw a Bogomil or Cathar Church, while in reality no trace of Bogomilism, Catharism or dualism can be found in the original documents of the Bosnian Christians.",p
6,3,"It was not until Pope Nicholas' Bull ""Prae cunctis"" in 1291 that the Dominican-led inquisition was imposed on Bosnia. The Inquisition reported of the existence of a dualist sect in Bosnia in the late 15th century and called them ""Bosnian heretics"", but this sect was most likely not the same as the Bosnian Church.",p
6,3,"Bogomilism was eradicated in Bulgaria, Rascia (one of Serbian medieval states) and Byzantium in the 13th century, but some smaller elements survived in Rascia's principality of Hum (present day Herzegovina) and Bosnia by embracing eastern tradition of the Bosnian church until the Ottoman Empire gained control of the region in 1463. Some scholars, who sought certain ideological backgrounds and justifications for their political narratives, argue that both Catholics and Orthodox persecuted the Bogomils as heretics and according to them, the pressures drew Bosnia to Bogomilism. It has purportedly been said that, with the introduction of Ottoman rule, Bosnians were often more likely to convert to Islam since some of them were not adherents of either the Roman Catholic or Serb Orthodox churches.[citation needed] However, these claims have been rejected by some as an anachronism from the Austro-Hungarian era.",p
6,3,"From Bosnia, their influence extended into Italy (Piedmont). The Hungarians undertook many crusades against the heretics in Bosnia, but towards the close of the 15th century, the conquest of that country by the Turks put an end to their persecution. Few or no remnants of Bogomilism have survived in Bosnia. The Ritual in Slavonic written by the Bosnian Radoslav, and published in vol. xv. of the Starine of the South Slavonic Academy at Agram, shows great resemblance to the Cathar ritual published by Cunitz, 1853.",p
6,3,"In the 18th century, the Paulician people from around Nicopolis were persecuted by the Turks, presumably on religious grounds,[citation needed] and a good part of them fled across the Danube and settled in the Banat region that was part of the Kingdom of Hungary at the time, and became known as Banat Bulgarians.[citation needed] There are still over ten thousand Banat Bulgarians in Banat today in the villages of Dudeştii Vechi, Vinga, Breştea and also in the city of Timișoara, with a few in Arad; however, they no longer practice Bogomilism, having converted to Roman Catholicism. There are also a few villages of Paulicians in the Serbian part of Banat, especially the villages of Ivanovo and Belo Blato, near Pančevo.",p
7,3,Social factors,h3
7,3,"The gradual Christianization of the Bulgarian population, the fact that the service was initially practiced in Greek, which only the elite knew, resulted in a low level of understanding of the religion among the peasantry. Due to the constant wars during the time of Tsar Simeon I, the lands near the Byzantine border (Thrace) were devastated, and the people living there were left without occupation. The constant change of authority over these lands, and the higher taxes during the time of Tsar Peter I, gave birth to a great social discontent at the beginning of the 10th century. Moreover, the corruption of the church as an institution led to grave disappointment among its recently converted flock.[citation needed]",p
8,3,Religious factors,h3
8,3,"The existence of older Christian heresies in the Bulgarian lands (Manichaeism and Paulicianism), which were considered very dualistic, influenced the Bogomil movement. Manichaeism's origin is related to Zoroastrianism; that is why Bogomilism is sometimes indirectly connected to Zoroastrianism in the sense of its duality.",p
9,3,Connections to the royal court,h3
9,3,"Most probably, as Samuil of Bulgaria revolted against the Byzantine Empire, he relied on the popular support of the movement. There are no sources of Bogomil persecution during his reign (976–1014).",p
10,4,Doctrine,h2
10,4,"оучѧтъ же своꙗ си не повиновати сѧ властелемъ своимъ; хоулѧще богатꙑѩ, царь ненавидѧтъ, рѫгаѭтъ сѧ старѣишинамъ, оукарꙗѭтъ болꙗрꙑ, мрьзькꙑ богоу мьнѧтъ работаѭщѧѩ цѣсарю, и вьсꙗкомоу рабоу не велѧтъ работати господиноу своѥмоу.",p
10,4,"They teach their followers not to obey their masters; they scorn the rich, they hate the Tsars, they ridicule their superiors, they reproach the boyars, they believe that God looks in horror on those who labour for the Tsar, and advise every serf not to work for his master.",p
10,4,"From the imperfect and conflicting data that is available, one positive result can be gathered that the Bogomils were gnostics, adoptionists and dualists.",p
10,4,"Their dualism was initially moderate (or ""monarchian""): according to their teachings, God created and rules the spiritual part of the world, and Satan the material, but Satan is ultimately inferior to God and his side by virtue of being God's son. However, Bogomils were not quite free from the absolute dualism of Manichaeism and Paulicianism, and over time adopted an absolute position too, believing God and Satan as eternal opponents, similar to the one maintained by the posterior Cathars.",p
10,4,"Their adoptionist teaching apparently came from Paul of Samosata (though at a later period the name of Paul was believed to be that of the Apostle). They rejected the Christianity of the Orthodox churches, though did not accept the docetic teaching of some of the other gnostic sects. They also opposed established forms of government and church as alike to anarchism (see Christian anarchism).",p
11,4,Source texts,h3
11,4,Possible source texts for Bogomil doctrine include:,p
11,4,"Bogomils accepted the four Gospels, fourteen Epistles of Paul, the three Epistles of John, James, Jude, and an Epistle to the Laodiceans, which they professed to have. They sowed the seeds of a rich, popular religious literature in the East as well as the West. The Historiated Bible, the Letter from Heaven, the Wanderings through Heaven and Hell, the numerous Adam and Cross legends, the religious poems of the ""Kalēki perehozhie"" and other similar productions owe their dissemination to a large extent to the activity of the Bogomils of Bulgaria, and their successors in other lands.",p
12,4,Cosmology,h3
12,4,"In their original monarchian dualist story, Bogomils taught that God had two sons, the elder Satanail and the younger Michael. Satanail rebelled against the father and became an evil spirit. He created the lower heavens and the Earth and tried in vain to create man, though in the end he had to appeal to God for the Spirit. After creation, Adam was allowed to till the ground on condition that he sold himself and his posterity to the owner of the Earth, Satanail.",p
12,4,"In order to free Adam and his offspring, Michael was sent in the form of a man, becoming identified with Jesus Christ, and was ""elected"" by God after the baptism in the Jordan. When the Holy Ghost appeared in the shape of the dove, Jesus received power to break the covenant in the form of a clay tablet (hierographon) held by Satanail from Adam. He had now become the angel Michael in a human form, and as such he vanquished Satanail, and deprived him of the suffix il (meaning God), in which his power resided. Satanail was thus transformed into Satan. However, through Satan's machinations the crucifixion took place, and Satan was the originator of the whole Orthodox community with its churches, vestments, ceremonies, sacraments and fasts, with its monks and priests. This world being the work of Satan, the perfect must eschew any and every excess of its pleasure, though not so far as asceticism.",p
12,4,"They held the ""Lord's Prayer"" in high respect as the most potent weapon against Satan, and had a number of conjurations against ""evil spirits"". Each community had its own twelve ""apostles"", and women could be raised to the rank of ""elect"". The Bogomils wore garments like those of mendicant friars and were known as enthusiastic missionaries, travelling far and wide to propagate their doctrines. Healing the sick and exorcising the evil spirit, they traversed different countries and spread their apocryphal literature along with some of the books of the Old Testament, deeply influencing the religious spirit of the nations and preparing them for the Reformation.",p
13,4,Christology and the Trinity,h3
13,4,"For Bogomils ""the Logos was not the Second Person of the Blessed Trinity, the Eternal Word incarnate, but merely the spoken word of God, shown in the oral teaching of Christ"". Although Bogomils regarded themselves as ""Trinitarian"", anathemas against Bogomils (circa 1027) charge Bogomils with rejection of the Trinity.",p
14,4,Opposition to institutions and materialism,h3
14,4,"The Catholic Church considered Bogomilism a heresy due to the duality in the Bogomil cosmogony, wherein the earthly sinful corporeal life is a creation of Satan, an angel that was sent to Earth. Also objectionable to the Church was the Bogomil claim that no human doctrine should be followed because no doctrine comes from the soul — the only divine possession of the human.[citation needed] Furthermore, their disbelief in anything that is created with materialistic and governmental goals led Bogomil followers to refuse to pay taxes, to work in serfdom, or to fight in conquering wars. The enemies and contemporaries of the movement interpreted this rejection of the feudal social system as creating disorder, even as the destruction of the state and Church.[citation needed]",p
14,4,"Karp Strigolnik, who in the 14th century preached the doctrine in Novgorod, explained that St. Paul had taught that simpleminded men should instruct one another; therefore they elected their ""teachers"" from among themselves to be their spiritual guides, and had no special priests. There is a tradition that the Bogomils taught that prayers were to be said in private houses, not in separate buildings such as churches. Ordination was conferred by the congregation and not by any specially appointed minister. The congregation were the ""elect"", and each member could obtain the perfection of Christ and become a Christ or ""Chlist"". Marriage was not a sacrament. Bogomils refused to fast on Mondays and Fridays, and they rejected monasticism. They declared Christ to be the Son of God only through grace like other prophets, and that the bread and wine of the eucharist were not physically transformed into flesh and blood; that the last judgement would be executed by God and not by Jesus; that the images and the cross were idols and the veneration of saints and relics idolatry.",p
14,4,"These doctrines have survived in the great Russian sects, and can be traced back to the teachings and practice of the Bogomils. But in addition to these doctrines of an adoptionist origin, they held the Manichaean dualistic conception of the origin of the world. This has been partly preserved in some of their literary remains, and has taken deep root in the beliefs and traditions of Balkan nations with substantial Bogomil followings. The chief literature of all the heretical sects throughout the ages has been that of apocryphal Biblical narratives, and the popes Jeremiah or Bogumil are directly mentioned as authors of such forbidden books ""which no orthodox dare read"". Though these writings are mostly of the same origin as those from the older lists of apocryphal books, they underwent a modification at the hands of their Bogomil editors, so as to be useful for the propagation of their own specific doctrines.",p
14,4,"In its most simple and attractive form—invested with the authority of the reputed holy author—their account of the creation of the world and of man, the origin of sin and redemption, the history of the Cross, and the disputes between body and soul, right and wrong, heaven and hell, were embodied either in ""Historiated Bibles"" (Paleya) or in special dialogues held between Christ and his disciples, or between renowned Fathers of the Church who expounded these views in a simple manner adapted to the understanding of the people (Lucidaria).",p
15,5,Legacy,h2
15,5,Link with later religious movements,h3
15,5,"The Bogomils were the connecting link between the so-called heretical sects of the East and those of the West. They were, moreover, the most active agents in disseminating such teachings in Kievan Rus' and among all the nations of Europe. In the 12th and 13th century, the Bogomils were already known in the West as ""Cathars"" or in other places as ""Bulgari"", i.e. Bulgarians (българи). In 1207 the Bulgarorum heresis is mentioned. In 1223 the Albigenses are declared to be the local Bougres, and in the same period mention is made of the ""Pope of the Albigenses who resided within the confines of Bulgaria"" (see also Nicetas, Bogomil bishop). The Cathars and Patarenes, the Waldenses, the Anabaptists, and in Russia the Strigolniki, and Spiritual Christians, have all at different times been either identified with the Bogomils or closely connected with them, even though several of these are unrelated and are not dualist.",p
15,5,"Considerable scholarly debate has arisen about the exact relationship between dualist heresies that arose in different places and centuries across medieval Europe, questioning whether it was indeed a single movement or belief system which was spread from one region to the next, or if multiple heretical movements arose independently in different parts of Europe. Furthering the confusion is that the medieval sources themselves, such as the 13th century papal Inquisition in France, would often simply assume that dualistic heresies were directly connected to previous heretical movements in different regions. Inquistors often described 13th century Cathars as a direct outgrowth of surviving Manichean dualists from previous centuries—though by the same logic, Inquisitors who encountered pagan religions in the fringes of Europe (Celtic lands, or in the Baltic Crusades) would directly accuse non-Christians of worshiping ""Apollo and Mercury"", simply applying previous terms and rhetoric to new contexts in which they didn't accurately apply. Thus medieval scholarship is divided over whether the ""Cathars"" actually were an offshoot of the ""Bogomils"", or if the 13th century Inquisition itself simply mistook ""Cathars"" for ""Bogomils"".",p
16,5,In modern and popular culture,h3
16,5,"In Foucault's Pendulum, a novel by the Italian philosopher and writer Umberto Eco, the plot concerning a widespread secret and mystic conspiracy has its ground in the disappearance of the Bogomils after the fall of the Second Bulgarian Empire under the rule of the Ottoman Empire.",p
16,5,"The Secret Book is a Macedonian feature film combining the detective, thriller and conspiracy fiction genres, based on a fictional story of the quest for the original Slavic language ""Secret Book"", written by the Bogomils in Macedonia and carried to Western Europe during the Middle Ages.",p
16,5,"A French and consequently an English word emerged based on twisted perceptions of the Bogomils by the Catholic Church. The words ""bouguer"" and ""buggery"" emerged, by way of the word ""bougre"" in French, from the Latin Bulgarus (Bulgarian). ""Buggery"" first appears in English in 1330 with the sense ""abominable heresy"", though ""bugger"" in a sexual sense is not recorded until 1555. The Oxford Dictionary of English Etymology quotes a similar form—""bowgard"" (and ""bouguer""), but claims that the Bulgarians were heretics ""as belonging to the Greek Church, sp. Albigensian"". Webster's Third New International Dictionary, gives the only meaning of the word ""bugger"" as sodomite, ""from the adherence of the Bulgarians to the Eastern Church considered heretical"".",p
16,5,"Bogomil Cove on Rugged Island in the South Shetland Islands, Antarctica is named after Priest Bogomil.",p
16,5,"The Bogomils make a significant part in the Thomas Pynchon novel Against the Day, when Cyprian Lakewood becomes a postulant and gives up his life of sodomitic servitude as a spy.",p
17,6,See also,h2
