subsection,section,data,tags
3,2,"The Christian religion is based on the teachings of Jesus Christ, who lived and preached in the 1st century AD in the province of Judea of the Roman Empire. Catholic theology teaches that the contemporary Catholic Church is the continuation of this early Christian community established by Jesus. Christianity spread throughout the early Roman Empire, despite persecutions due to conflicts with the pagan state religion. Emperor Constantine legalized the practice of Christianity in 313, and it became the state religion in 380. Germanic invaders of Roman territory in the 5th and 6th centuries, many of whom had previously adopted Arian Christianity, eventually adopted Catholicism to ally themselves with the papacy and the monasteries.",p
3,2,"In the 7th and 8th centuries, expanding Muslim conquests following the advent of Islam led to an Arab domination of the Mediterranean that severed political connections between that area and northern Europe, and weakened cultural connections between Rome and the Byzantine Empire. Conflicts involving authority in the church, particularly the authority of the Bishop of Rome finally culminated in the East–West Schism in the 11th century, splitting the church into the Catholic and Orthodox Churches. Earlier splits within the church occurred after the Council of Ephesus (431) and the Council of Chalcedon (451). However, a few Eastern Churches remained in communion with Rome, and portions of some others established communion in the 15th century and later, forming what are called the Eastern Catholic Churches.",p
3,2,"Early monasteries throughout Europe helped preserve Greek and Roman classical civilization. The church eventually became the dominant influence in Western civilization into the modern age. Many Renaissance figures were sponsored by the church. The 16th century, however, began to see challenges to the church, in particular to its religious authority, by figures in the Protestant Reformation, as well as in the 17th century by secular intellectuals in the Enlightenment. Concurrently, Spanish and Portuguese explorers and missionaries spread the church's influence through Africa, Asia, and the New World.",p
3,2,"In 1870, the First Vatican Council declared the dogma of papal infallibility and the Kingdom of Italy annexed the city of Rome, the last portion of the Papal States to be incorporated into the new nation. In the 20th century, anti-clerical governments around the world, including Mexico and Spain, persecuted or executed thousands of clerics and laypersons. In the Second World War, the church condemned Nazism, and protected hundreds of thousands of Jews from the Holocaust; its efforts, however, have been criticized as inadequate. After the war, freedom of religion was severely restricted in the Communist countries newly aligned with the Soviet Union, several of which had large Catholic populations.",p
3,2,"In the 1960s, the Second Vatican Council led to reforms of the church's liturgy and practices, described as ""opening the windows"" by defenders, but criticized by traditionalist Catholics. In the face of increased criticism from both within and without, the church has upheld or reaffirmed at various times controversial doctrinal positions regarding sexuality and gender, including limiting clergy to males, and moral exhortations against abortion, contraception, sexual activity outside of marriage, remarriage following divorce without annulment, and against same-sex marriage.",p
4,2,Apostolic era and papacy,h3
4,2,"The New Testament, in particular the Gospels, records Jesus' activities and teaching, his appointment of the Twelve Apostles]] and his Great Commission of the apostles, instructing them to continue his work. The book Acts of Apostles, tells of the founding of the Christian church and the spread of its message to the Roman empire. The Catholic Church teaches that its public ministry began on Pentecost, occurring fifty days following the date Christ is believed to have resurrected. At Pentecost, the apostles are believed to have received the Holy Spirit, preparing them for their mission in leading the church. The Catholic Church teaches that the college of bishops, led by the Bishop of Rome are the successors to the Apostles.",p
4,2,"In the account of the Confession of Peter found in the Gospel of Matthew, Christ designates Peter as the ""rock"" upon which Christ's church will be built. The Catholic Church considers the Bishop of Rome, the pope, to be the successor to Saint Peter. Some scholars state Peter was the first Bishop of Rome. [note 5] Others say that the institution of the papacy is not dependent on the idea that Peter was Bishop of Rome or even on his ever having been in Rome. Many scholars hold that a church structure of plural presbyters/bishops persisted in Rome until the mid-2nd century, when the structure of a single bishop and plural presbyters was adopted, and that later writers retrospectively applied the term ""bishop of Rome"" to the most prominent members of the clergy in the earlier period and also to Peter himself. On this basis, Oscar Cullmann, Henry Chadwick, and Bart D. Ehrman question whether there was a formal link between Peter and the modern papacy. Raymond E. Brown also says that it is anachronistic to speak of Peter in terms of local bishop of Rome, but that Christians of that period would have looked on Peter as having ""roles that would contribute in an essential way to the development of the role of the papacy in the subsequent church"". These roles, Brown says, ""contributed enormously to seeing the bishop of Rome, the bishop of the city where Peter died, and where Paul witnessed to the truth of Christ, as the successor of Peter in care for the church universal"".",p
5,2,Antiquity and Roman Empire,h3
5,2,"Conditions in the Roman Empire facilitated the spread of new ideas. The empire's network of roads and waterways facilitated travel, and the Pax Romana made travelling safe. The empire encouraged the spread of a common culture with Greek roots, which allowed ideas to be more easily expressed and understood.",p
5,2,"Unlike most religions in the Roman Empire, however, Christianity required its adherents to renounce all other gods, a practice adopted from Judaism (see Idolatry). The Christians' refusal to join pagan celebrations meant they were unable to participate in much of public life, which caused non-Christians—including government authorities—to fear that the Christians were angering the gods and thereby threatening the peace and prosperity of the Empire. The resulting persecutions were a defining feature of Christian self-understanding until Christianity was legalized in the 4th century.",p
5,2,"In 313, Emperor Constantine I's Edict of Milan legalized Christianity, and in 330 Constantine moved the imperial capital to Constantinople, modern Istanbul, Turkey. In 380 the Edict of Thessalonica made Nicene Christianity the state church of the Roman Empire, a position that within the diminishing territory of the Byzantine Empire would persist until the empire itself ended in the fall of Constantinople in 1453, while elsewhere the church was independent of the empire, as became particularly clear with the East–West Schism. During the period of the Seven Ecumenical Councils, five primary sees emerged, an arrangement formalized in the mid-6th century by Emperor Justinian I as the pentarchy of Rome, Constantinople, Antioch, Jerusalem and Alexandria. In 451 the Council of Chalcedon, in a canon of disputed validity, elevated the see of Constantinople to a position ""second in eminence and power to the bishop of Rome"". From c. 350 to c. 500, the bishops, or popes, of Rome, steadily increased in authority through their consistent intervening in support of orthodox leaders in theological disputes, which encouraged appeals to them. Emperor Justinian, who in the areas under his control definitively established a form of caesaropapism, in which ""he had the right and duty of regulating by his laws the minutest details of worship and discipline, and also of dictating the theological opinions to be held in the Church"", reestablished imperial power over Rome and other parts of the West, initiating the period termed the Byzantine Papacy (537–752), during which the bishops of Rome, or popes, required approval from the emperor in Constantinople or from his representative in Ravenna for consecration, and most were selected by the emperor from his Greek-speaking subjects, resulting in a ""melting pot"" of Western and Eastern Christian traditions in art as well as liturgy.",p
5,2,"Most of the Germanic tribes who in the following centuries invaded the Roman Empire had adopted Christianity in its Arian form, which the Catholic Church declared heretical. The resulting religious discord between Germanic rulers and Catholic subjects was avoided when, in 497, Clovis I, the Frankish ruler, converted to orthodox Catholicism, allying himself with the papacy and the monasteries. The Visigoths in Spain followed his lead in 589, and the Lombards in Italy in the course of the 7th century.",p
5,2,"Western Christianity, particularly through its monasteries, was a major factor in preserving classical civilization, with its art (see Illuminated manuscript) and literacy. Through his Rule, Benedict of Nursia (c. 480–543), one of the founders of Western monasticism, exerted an enormous influence on European culture through the appropriation of the monastic spiritual heritage of the early Catholic Church and, with the spread of the Benedictine tradition, through the preservation and transmission of ancient culture. During this period, monastic Ireland became a centre of learning and early Irish missionaries such as Columbanus and Columba spread Christianity and established monasteries across continental Europe.",p
6,2,Middle Ages and Renaissance,h3
6,2,Catholicism portal,p
6,2,"The Catholic Church was the dominant influence on Western civilization from Late Antiquity to the dawn of the modern age. It was the primary sponsor of Romanesque, Gothic, Renaissance, Mannerist and Baroque styles in art, architecture and music. Renaissance figures such as Raphael, Michelangelo, Leonardo da Vinci, Botticelli, Fra Angelico, Tintoretto, Titian, Bernini and Caravaggio are examples of the numerous visual artists sponsored by the church. Historian Paul Legutko of Stanford University said the Catholic Church is ""at the center of the development of the values, ideas, science, laws, and institutions which constitute what we call Western civilization"".",p
6,2,"The massive Islamic invasions of the mid-7th century began a long struggle between Christianity and Islam throughout the Mediterranean Basin. The Byzantine Empire soon lost the lands of the eastern patriarchates of Jerusalem, Alexandria and Antioch and was reduced to that of Constantinople, the empire's capital. As a result of Islamic domination of the Mediterranean, the Frankish state, centred away from that sea, was able to evolve as the dominant power that shaped the Western Europe of the Middle Ages. The battles of Toulouse and Poitiers halted the Islamic advance in the West and the failed Siege of Constantinople halted it in the East. Two or three decades later, in 751, the Byzantine Empire lost to the Lombards the city of Ravenna from which it governed the small fragments of Italy, including Rome, that acknowledged its sovereignty. The fall of Ravenna meant that confirmation by a no longer existent exarch was not asked for during the election in 752 of Pope Stephen II and that the papacy was forced to look elsewhere for a civil power to protect it. In 754, at the urgent request of Pope Stephen, the Frankish king Pepin the Short conquered the Lombards. He then gifted the lands of the former exarchate to the pope, thus initiating the Papal States. Rome and the Byzantine East would delve into further conflict during the Photian schism of the 860s, when Photius criticized the Latin west of adding of the filioque clause after being excommunicated by Nicholas I. Though the schism was reconciled, unresolved issues would lead to further division.",p
6,2,"In the 11th century, the efforts of Hildebrand of Sovana led to the creation of the College of Cardinals to elect new popes, starting with Pope Alexander II in the papal election of 1061. When Alexander II died, Hildebrand was elected to succeed him, as Pope Gregory VII. The basic election system of the College of Cardinals which Gregory VII helped establish has continued to function into the 21st century. Pope Gregory VII further initiated the Gregorian Reforms regarding the independence of the clergy from secular authority. This led to the Investiture Controversy between the church and the Holy Roman Emperors, over which had the authority to appoint bishops and popes.",p
6,2,"In 1095, Byzantine emperor Alexius I appealed to Pope Urban II for help against renewed Muslim invasions in the Byzantine–Seljuk Wars, which caused Urban to launch the First Crusade aimed at aiding the Byzantine Empire and returning the Holy Land to Christian control. In the 11th century, strained relations between the primarily Greek church and the Latin Church separated them in the East–West Schism, partially due to conflicts over papal authority. The Fourth Crusade and the sacking of Constantinople by renegade crusaders proved the final breach. In this age great gothic cathedrals in France were an expression of popular pride in the Christian faith.",p
6,2,"In the early 13th century mendicant orders were founded by Francis of Assisi and Dominic de Guzmán. The studia conventualia and studia generalia of the mendicant orders played a large role in the transformation of Church-sponsored cathedral schools and palace schools, such as that of Charlemagne at Aachen, into the prominent universities of Europe. Scholastic theologians and philosophers such as the Dominican priest Thomas Aquinas studied and taught at these studia. Aquinas' Summa Theologica was an intellectual milestone in its synthesis of the legacy of ancient Greek philosophers such as Plato and Aristotle with the content of Christian revelation.",p
6,2,"A growing sense of church-state conflicts marked the 14th century. To escape instability in Rome, Clement V in 1309 became the first of seven popes to reside in the fortified city of Avignon in southern France during a period known as the Avignon Papacy. The Avignon Papacy ended in 1376 when the pope returned to Rome, but was followed in 1378 by the 38-year-long Western schism, with claimants to the papacy in Rome, Avignon and (after 1409) Pisa. The matter was largely resolved in 1415–17 at the Council of Constance, with the claimants in Rome and Pisa agreeing to resign and the third claimant excommunicated by the cardinals, who held a new election naming Martin V pope.",p
6,2,"In 1438, the Council of Florence convened, which featured a strong dialogue focussed on understanding the theological differences between the East and West, with the hope of reuniting the Catholic and Orthodox churches. Several eastern churches reunited, forming the majority of the Eastern Catholic Churches.",p
7,2,Age of Discovery,h3
7,2,"The Age of Discovery beginning in the 15th century saw the expansion of Western Europe's political and cultural influence worldwide. Because of the prominent role the strongly Catholic nations of Spain and Portugal played in Western Colonialism, Catholicism was spread to the Americas, Asia and Oceania by explorers, conquistadors, and missionaries, as well as by the transformation of societies through the socio-political mechanisms of colonial rule. Pope Alexander VI had awarded colonial rights over most of the newly discovered lands to Spain and Portugal and the ensuing patronato system allowed state authorities, not the Vatican, to control all clerical appointments in the new colonies. In 1521 the Portuguese explorer Ferdinand Magellan made the first Catholic converts in the Philippines. Elsewhere, Portuguese missionaries under the Spanish Jesuit Francis Xavier evangelized in India, China, and Japan. The French colonization of the Americas beginning in the 16th century established a Roman Catholic francophone population and forbade non-Catholics to settle in Quebec.",p
8,2,Protestant Reformation and Counter-Reformation,h3
8,2,"In 1415, Jan Hus was burned at the stake for heresy, but his reform efforts encouraged Martin Luther, an Augustinian monk in Germany, who sent his Ninety-five Theses to several bishops in 1517. His theses protested key points of Catholic doctrine as well as the sale of indulgences, and along with the Leipzig Debate this led to his excommunication in 1521. In Switzerland, Huldrych Zwingli, John Calvin and other Protestant Reformers further criticized Catholic teachings. These challenges developed into the Reformation, which gave birth to the great majority of Protestant denominations and also crypto-Protestantism within the Catholic Church. Meanwhile, Henry VIII petitioned the pope for a declaration of nullity concerning his marriage to Catherine of Aragon. When this was denied, he had the Acts of Supremacy passed to make him head of the Church of England, spurring the English Reformation and the eventual development of Anglicanism.",p
8,2,"The Reformation contributed to clashes between the Protestant Schmalkaldic League and the Catholic Emperor Charles V and his allies. The first nine-year war ended in 1555 with the Peace of Augsburg but continued tensions produced a far graver conflict—the Thirty Years' War—which broke out in 1618. In France, a series of conflicts termed the French Wars of Religion was fought from 1562 to 1598 between the Huguenots (French Calvinists) and the forces of the French Catholic League, which were backed and funded by a series of popes. This ended under Pope Clement VIII, who hesitantly accepted King Henry IV's 1598 Edict of Nantes granting civil and religious toleration to French Protestants.",p
8,2,"The Council of Trent (1545–1563) became the driving force behind the Counter-Reformation in response to the Protestant movement. Doctrinally, it reaffirmed central Catholic teachings such as transubstantiation and the requirement for love and hope as well as faith to attain salvation. In subsequent centuries, Catholicism spread widely across the world, in part through missionaries and imperialism, although its hold on European populations declined due to the growth of religious scepticism during and after the Enlightenment.",p
9,2,Enlightenment and modern period,h3
9,2,"From the 17th century onward, the Enlightenment questioned the power and influence of the Catholic Church over Western society. In the 18th century, writers such as Voltaire and the Encyclopédistes wrote biting critiques of both religion and the Catholic Church. One target of their criticism was the 1685 revocation of the Edict of Nantes by King Louis XIV of France, which ended a century-long policy of religious toleration of Protestant Huguenots. As the papacy resisted pushes for Gallicanism, the French Revolution of 1789 shifted power to the state, caused the destruction of churches, the establishment of a Cult of Reason, and the martyrdom of nuns during the Reign of Terror. In 1798, Napoleon Bonaparte's General Louis-Alexandre Berthier invaded the Italian Peninsula, imprisoning Pope Pius VI, who died in captivity. Napoleon later re-established the Catholic Church in France through the Concordat of 1801. The end of the Napoleonic Wars brought Catholic revival and the return of the Papal States.",p
9,2,"In 1854, Pope Pius IX, with the support of the overwhelming majority of Catholic bishops, whom he had consulted from 1851 to 1853, proclaimed the Immaculate Conception as a Dogma in the Catholic Church. In 1870, the First Vatican Council affirmed the doctrine of papal infallibility when exercised in specifically defined pronouncements, striking a blow to the rival position of conciliarism. Controversy over this and other issues resulted in a breakaway movement called the Old Catholic Church,",p
9,2,"The Italian unification of the 1860s incorporated the Papal States, including Rome itself from 1870, into the Kingdom of Italy, thus ending the papacy's temporal power. In response, Pope Pius IX excommunicated King Victor Emmanuel II, refused payment for the land, and rejected the Italian Law of Guarantees, which granted him special privileges. To avoid placing himself in visible subjection to the Italian authorities, he remained a ""prisoner in the Vatican"". This stand-off, which was spoken of as the Roman Question, was resolved by the 1929 Lateran Treaties, whereby the Holy See acknowledged Italian sovereignty over the former Papal States in return for payment and Italy's recognition of papal sovereignty over Vatican City as a new sovereign and independent state.",p
10,2,20th century,h3
10,2,"During the First World War, numerous appeals for peace came from the Catholic Church. The ""Dès le début"" initiative of Pope Benedict XV of August 1, 1917, failed because of the rejection of the warring parties.",p
10,2,"A number of anti-clerical governments emerged in the 20th century. The 1926 Calles Law separating church and state in Mexico led to the Cristero War in which more than 3,000 priests were exiled or assassinated, churches desecrated, services mocked, nuns raped, and captured priests shot. Following the 1917 October Revolution, persecution of the church and Catholics in the Soviet Union continued into the 1930s, with the execution and exiling of clerics, monks and laymen, the confiscation of religious implements, and closure of churches. In the 1936–39 Spanish Civil War, the Catholic hierarchy allied with Franco's Nationalists against the Popular Front government, citing as justification Republican violence against the church. Pope Pius XI referred to these three countries as a ""terrible triangle"".",p
10,2,"After violations of the 1933 Reichskonkordat between the church and Nazi Germany, Pope Pius XI issued the 1937 encyclical Mit brennender Sorge, which publicly condemned the Nazis' persecution of the church and their ideology of neo-paganism and racial superiority. The church condemned the 1939 Invasion of Poland that started World War II and other subsequent wartime Nazi invasions. Thousands of Catholic priests, nuns and brothers were imprisoned in the countries occupied by the Nazis, were taken to a concentration camp, tortured and murdered, including Saints Maximilian Kolbe and Edith Stein.",p
10,2,"It was not only about passive resistance, but also actively about defeating National Socialism. For example, the Catholic resistance group around the priest Heinrich Maier very successfully passed on plans and production facilities for V-2 rockets, Tiger tanks, Messerschmitt Me 163 Komet and other aircraft to the Allies, with which they could target German production facilities. Maier and his group informed the American secret service OSS very early on about the mass murder of Jews in Auschwitz.",p
10,2,"Around 1943, Adolf Hitler planned the kidnapping of the Pope and his internment in Germany. He gave SS General Wolff a corresponding order to prepare for the action. While Pope Pius XII has been credited with helping to save hundreds of thousands of Jews during the Holocaust, the church has also been accused of having encouraged centuries of antisemitism by its teachings and not doing enough to stop Nazi atrocities. Many Nazi criminals escaped overseas after the Second World War, also because they had powerful supporters from the Vatican. The judgment of Pius XII. is made more difficult by the sources, because the church archives for his tenure as nuncio, cardinal secretary of state and pope are in part closed or not yet processed.",p
10,2,"In dismembered Yugoslavia, the Church favored the Nazi-installed Croatian Roman Catholic fascist Ustaše regime due to its anti-communist ideology and for the potential to reinstate Catholic influence in the region following the dissolution of Austria-Hungary. It did not however formally recognize the Independent State of Croatia (NDH). Despite being informed of the regime's genocide against Orthodox Serbs, Jews and other non-Croats, the Church did not publicly speak out against it, preferring to exert pressure through diplomacy. In assessing the Vatican's position, historian Jozo Tomasevich writes that ""it seems the Catholic Church fully supported the [Ustaše] regime and its policies.""",p
10,2,"During the post-war period, Communist governments in Central and Eastern Europe severely restricted religious freedoms. Although some priests and religious people collaborated with Communist regimes, many others were imprisoned, deported, or executed. The church was an important player in the fall of Communism in Europe, particularly in the Polish People's Republic.",p
10,2,"In 1949, the Communist victory in the Chinese Civil War led to the expulsion of all foreign missionaries. The new government also created the Patriotic Church and appointed its bishops. These appointments were initially rejected by Rome before many of them were accepted. [better source needed] In the 1960s during the Cultural Revolution, the Chinese Communists closed all religious establishments. When Chinese churches eventually reopened, they remained under the control of the Patriotic Church. Many Catholic pastors and priests continued to be sent to prison for refusing to renounce allegiance to Rome.",p
10,2,"The Second Vatican Council (1962–1965) introduced the most significant changes to Catholic practices since the Council of Trent, four centuries before. Initiated by Pope John XXIII, this ecumenical council modernised the practices of the Catholic Church, allowing the Mass to be said in the vernacular (local language) and encouraging ""fully conscious, and active participation in liturgical celebrations"". It intended to engage the church more closely with the present world (aggiornamento), which was described by its advocates as an ""opening of the windows"". In addition to changes in the liturgy, it led to changes to the church's approach to ecumenism, and a call to improved relations with non-Christian religions, especially Judaism, in its document Nostra aetate.",p
10,2,"The council, however, generated significant controversy in implementing its reforms: proponents of the ""Spirit of Vatican II"" such as Swiss theologian Hans Küng said that Vatican II had ""not gone far enough"" to change church policies. Traditionalist Catholics, such as Archbishop Marcel Lefebvre, however, strongly criticized the council, arguing that its liturgical reforms led ""to the destruction of the Holy Sacrifice of the Mass and the sacraments"", among other issues.",p
10,2,"Several teachings of the Catholic Church came under increased scrutiny both concurrent with and following the council; among those teachings was the church's teaching regarding the immorality of contraception. The recent introduction of hormonal contraception (including ""the pill""), which were believed by some to be morally different from previous methods, prompted John XXIII to form a committee to advise him of the moral and theological issues with the new method. Pope Paul VI later expanded the committee's scope to freely examine all methods, and the committee's unreleased final report was rumoured to suggest permitting at least some methods of contraception. Paul did not agree with the arguments presented, and eventually issued Humanae vitae, saying that it upheld the constant teaching of the church against contraception. It expressly included hormonal methods as prohibited.[note 6] This document generated a largely negative response from many Catholics.[from whom?]",p
10,2,"In 1978, Pope John Paul II, formerly Archbishop of Kraków in the Polish People's Republic, became the first non-Italian pope in 455 years. His 26 1/2-year pontificate was one of the longest in history. Mikhail Gorbachev, the president of the Soviet Union, credited the Polish pope with hastening the fall of Communism in Europe.",p
10,2,"John Paul II sought to evangelize an increasingly secular world. He instituted World Youth Day as a ""worldwide encounter with the pope"" for young people; it is now held every two to three years. He travelled more than any other pope, visiting 129 countries, and used television and radio as means of spreading the church's teachings. He also emphasised the dignity of work and natural rights of labourers to have fair wages and safe conditions in Laborem exercens. He emphasised several church teachings, including moral exhortations against abortion, euthanasia, and against widespread use of the death penalty, in Evangelium Vitae.",p
10,2,"From the late 20th century, the Catholic Church has been criticized for its doctrines on sexuality, its inability to ordain women, and its handling of sexual abuse cases.",p
11,2,21st century,h3
11,2,"In 1992, the Vatican acknowledged its error in persecuting Galileo 359 years earlier for proving the Earth revolved around the Sun.",p
11,2,"In 2005, following the death of John Paul II, Pope Benedict XVI, head of the Congregation for the Doctrine of the Faith under John Paul, was elected. He was known for upholding traditional Christian values against secularization, and for increasing use of the Tridentine Mass as found in the Roman Missal of 1962. In 2012, the 50th anniversary of Vatican II, an assembly of the Synod of Bishops discussed re-evangelising lapsed Catholics in the developed world. Citing the frailties of advanced age, Benedict resigned in 2013, becoming the first pope to do so in nearly 600 years.",p
11,2,"Pope Francis, the current pope of the Catholic Church, succeeded Pope Benedict XVI in 2013 as the first pope from the Americas, the first from the Southern Hemisphere, and the first Pope from outside Europe since the Syrian Gregory III, who reigned in the 8th century. Pope Francis has been noted for his humility, emphasis on God's mercy, concern for the poor and the environment, as well as his commitment to interfaith dialogue. He is credited with having a less formal approach to the papacy than his predecessors.",p
11,2,"Pope Francis is recognised for his efforts ""to further close the nearly 1,000-year estrangement with the Orthodox Churches"". His installation was attended by Patriarch Bartholomew I of Constantinople of the Eastern Orthodox Church, the first time since the Great Schism of 1054 that the Eastern Orthodox Ecumenical Patriarch of Constantinople has attended a papal installation. On 12 February 2016, Pope Francis and Patriarch Kirill of Moscow, head of the largest Eastern Orthodox church, met in Havana, Cuba, issuing a joint declaration calling for restored Christian unity between the two churches. This was reported as the first such high-level meeting between the two churches since the Great Schism of 1054.",p
11,2,"In 2014, the Third Extraordinary General Assembly of the Synod of Bishops addressed the church's ministry towards families and marriages and to Catholics in ""irregular"" relationships, such as those who divorced and remarried outside of the church without a declaration of nullity. While welcomed by some, it was criticized by some for perceived ambiguity, provoking controversies among individual representatives of differing perspectives.",p
11,2,"In 2017 during a visit in Egypt, Pope Francis reestablished mutual recognition of baptism with the Coptic Orthodox Church.",p
12,3,Organization,h2
12,3,"The Catholic Church follows an episcopal polity, led by bishops who have received the sacrament of Holy Orders who are given formal jurisdictions of governance within the church. There are three levels of clergy, the episcopate, composed of bishops who hold jurisdiction over a geographic area called a diocese or eparchy; the presbyterate, composed of priests ordained by bishops and who work in local diocese or religious orders; and the diaconate, composed of deacons who assist bishops and priests in a variety of ministerial roles. Ultimately leading the entire Catholic Church is the Bishop of Rome, commonly called the pope, whose jurisdiction is called the Holy See. In parallel to the diocesan structure are a variety of religious institutes that function autonomously, often subject only to the authority of the pope, though sometimes subject to the local bishop. Most religious institutes only have male or female members but some have both. Additionally, lay members aid many liturgical functions during worship services.",p
13,3,"Holy See, papacy, Roman Curia, and College of Cardinals",h3
13,3,"The hierarchy of the Catholic Church is headed[note 7] by the Bishop of Rome, known as the pope (Latin: papa; ""father""), who is the leader of the worldwide Catholic Church. The current pope, Francis, was elected on 13 March 2013 by papal conclave.",p
13,3,Jus novum (c. 1140-1563),p
13,3,Jus novissimum (c. 1563-1918),p
13,3,Jus codicis (1918-present),p
13,3,Other,p
13,3,Sacraments,p
13,3,Sacramentals,p
13,3,Sacred places,p
13,3,Sacred times,p
13,3,Supra-diocesan/eparchal structures,p
13,3,Particular churches,p
13,3,Juridic persons,p
13,3,"Philosophy, theology, and fundamental theory of Catholic canon law",p
13,3,Clerics,p
13,3,Office,p
13,3,Juridic and physical persons,p
13,3,Associations of the faithful,p
13,3,Pars dynamica (trial procedure),p
13,3,Canonization,p
13,3,Election of the Roman Pontiff,p
13,3,Academic degrees,p
13,3,Journals and Professional Societies,p
13,3,Faculties of canon law,p
13,3,Canonists,p
13,3,Institute of consecrated life,p
13,3,Society of apostolic life,p
13,3,"The office of the pope is known as the papacy. The Catholic Church holds that Christ instituted the papacy upon giving the keys of Heaven to Saint Peter. His ecclesiastical jurisdiction is called the ""Holy See"" (Sancta Sedes in Latin), or the ""Apostolic See"" (meaning the see of the apostle Peter). Directly serving the pope is the Roman Curia, the central governing body that administers the day-to-day business of the Catholic Church.",p
13,3,"The pope is also Sovereign of Vatican City, a small city-state entirely enclaved within the city of Rome, which is an entity distinct from the Holy See. It is as head of the Holy See, not as head of Vatican City State, that the pope receives ambassadors of states and sends them his own diplomatic representatives. The Holy See also confers orders, decorations and medals, such as the orders of chivalry originating from the Middle Ages.",p
13,3,"While the famous Saint Peter's Basilica is located in Vatican City, above the traditional site of Saint Peter's tomb, the papal cathedral for the Diocese of Rome is the Archbasilica of Saint John Lateran, located within the city of Rome, though enjoying extraterritorial privileges accredited to the Holy See.",p
